"","x","moe_n100","moe_n200","moe_n400"
"1",0,0.02,0.01,0
"2",0.05,0.05,0.03,0.02
"3",0.1,0.06,0.04,0.02
"4",0.15,0.07,0.05,0.03
"5",0.2,0.08,0.06,0.03
"6",0.25,0.09,0.06,0.03
"7",0.3,0.09,0.07,0.04
"8",0.35,0.1,0.07,0.04
"9",0.4,0.1,0.07,0.04
"10",0.45,0.1,0.07,0.04
"11",0.5,0.1,0.07,0.04
"12",0.55,0.1,0.07,0.04
"13",0.6,0.1,0.07,0.05
"14",0.65,0.1,0.07,0.05
"15",0.7,0.09,0.07,0.05
"16",0.75,0.09,0.06,0.05
"17",0.8,0.08,0.06,0.05
"18",0.85,0.07,0.05,0.05
"19",0.9,0.06,0.04,0.05
"20",0.95,0.05,0.03,0.05
"21",1,0.02,0.01,0.05
